k,retriever,task,target_metric,QPP_Method,Spearman,Kendall
3,e5,dl,utility,avg(docQual),-0.0493,-0.0335
3,e5,dl,utility,itg(docQual),-0.0695,-0.0428
5,bm25,nq,f1,nqc,0.1258,0.0962
5,bm25,nq,f1,maxScore,0.1573,0.1206
5,bm25,nq,f1,spatial,0.2139,0.1633
5,bm25,nq,f1,a_ratio,0.1256,0.0962
5,bm25,nq,f1,bertQPP,0.1894,0.1454
5,bm25,nq,f1,prob(k),0.3256,0.2491
5,bm25,nq,f1,max(perpC),0.1175,0.0903
5,bm25,nq,f1,min(perpC),0.0747,0.0572
5,bm25,nq,f1,avg(perpC),0.1059,0.0812
5,bm25,nq,f1,itg(perpC),0.1108,0.085
5,bm25,nq,f1,max(docQual),0.0684,0.053
5,bm25,nq,f1,min(docQual),0.0732,0.0564
5,bm25,nq,f1,avg(docQual),0.0817,0.0624
5,bm25,nq,f1,itg(docQual),0.0342,0.0264
5,bm25,nq,f1,itg(Dale Chall),0.068,0.052
5,bm25,nq,f1,itg(Spache),0.0614,0.0471
5,bm25,nq,f1,itg(Flesch-Kincaid),0.045,0.0346
5,bm25,nq,f1,itg(Flesch),-0.0334,-0.0254
5,bm25,nq,f1,itg(Gunning Fog),0.034,0.0259
5,bm25,nq,f1,itg(Coleman Liau),-0.0055,-0.0043
5,bm25,nq,f1,itg(ARI),0.0266,0.0203
5,bm25,nq,f1,itg(Linsear Write),0.0473,0.0362
5,bm25,nq,utility,nqc,0.1312,0.0965
5,bm25,nq,utility,maxScore,0.1345,0.0991
5,bm25,nq,utility,spatial,0.1564,0.1154
5,bm25,nq,utility,a_ratio,0.1382,0.1018
5,bm25,nq,utility,bertQPP,0.1625,0.1203
5,bm25,nq,utility,prob(k),0.182,0.1347
5,bm25,nq,utility,max(perpC),0.0641,0.0472
5,bm25,nq,utility,min(perpC),0.0244,0.0179
5,bm25,nq,utility,avg(perpC),0.0505,0.0372
5,bm25,nq,utility,itg(perpC),0.0583,0.0431
5,bm25,nq,utility,max(docQual),0.0411,0.0303
5,bm25,nq,utility,min(docQual),0.0501,0.037
5,bm25,nq,utility,avg(docQual),0.0428,0.0314
5,bm25,nq,utility,itg(docQual),0.0239,0.0177
5,bm25,nq,utility,itg(Dale Chall),0.0135,0.01
5,bm25,nq,utility,itg(Spache),0.007,0.0052
5,bm25,nq,utility,itg(Flesch-Kincaid),-0.0223,-0.0164
5,bm25,nq,utility,itg(Flesch),0.0308,0.0227
5,bm25,nq,utility,itg(Gunning Fog),-0.0121,-0.009
5,bm25,nq,utility,itg(Coleman Liau),-0.0464,-0.0344
5,bm25,nq,utility,itg(ARI),-0.0302,-0.0222
5,bm25,nq,utility,itg(Linsear Write),-0.0146,-0.0107
5,bm25,dl,f1,nqc,-0.0684,-0.0537
5,bm25,dl,f1,maxScore,0.1956,0.1357
5,bm25,dl,f1,spatial,0.5045,0.3505
5,bm25,dl,f1,a_ratio,0.0603,0.0357
5,bm25,dl,f1,bertQPP,0.1039,0.0679
5,bm25,dl,f1,prob(k),0.6199,0.4656
5,bm25,dl,f1,max(perpC),-0.0823,-0.0514
5,bm25,dl,f1,min(perpC),0.2291,0.1459
