qid,qpp_estimate,parameters,qpp_method
test_1382,1755.564208984375,{'k': 3},spatial
test_1383,1421.36865234375,{'k': 3},spatial
test_1384,1642.467529296875,{'k': 3},spatial
test_1385,1545.306396484375,{'k': 3},spatial
test_1386,1729.0516357421875,{'k': 3},spatial
test_1387,1555.69384765625,{'k': 3},spatial
test_1388,1768.48681640625,{'k': 3},spatial
test_1389,1558.15576171875,{'k': 3},spatial
test_139,1550.6029052734375,{'k': 3},spatial
test_1390,1490.330322265625,{'k': 3},spatial
test_1391,1569.67822265625,{'k': 3},spatial
test_1392,1631.3017578125,{'k': 3},spatial
test_1393,1806.9188232421875,{'k': 3},spatial
test_1394,1455.3931884765625,{'k': 3},spatial
test_1395,1852.3172607421875,{'k': 3},spatial
test_1396,1622.1346435546875,{'k': 3},spatial
test_1397,1816.8175048828125,{'k': 3},spatial
test_1398,1628.2659912109375,{'k': 3},spatial
test_1399,1645.437744140625,{'k': 3},spatial
test_14,1546.41748046875,{'k': 3},spatial
test_140,1702.384521484375,{'k': 3},spatial
test_1400,1339.960693359375,{'k': 3},spatial
test_1401,1497.39892578125,{'k': 3},spatial
test_1402,1472.70849609375,{'k': 3},spatial
test_1403,1534.5477294921875,{'k': 3},spatial
test_1404,1655.0986328125,{'k': 3},spatial
test_1405,1472.920166015625,{'k': 3},spatial
test_1406,1569.37060546875,{'k': 3},spatial
test_1407,1620.8699951171875,{'k': 3},spatial
test_1408,1805.944580078125,{'k': 3},spatial
test_1409,1674.9693603515625,{'k': 3},spatial
test_141,1527.1712646484375,{'k': 3},spatial
test_1410,1740.6771240234375,{'k': 3},spatial
test_1411,1578.90087890625,{'k': 3},spatial
test_1412,1642.258544921875,{'k': 3},spatial
test_1413,1513.8355712890625,{'k': 3},spatial
test_1414,1570.01171875,{'k': 3},spatial
test_1415,1606.609375,{'k': 3},spatial
test_1416,1700.6444091796875,{'k': 3},spatial
test_1417,1618.674560546875,{'k': 3},spatial
test_1418,1542.1678466796875,{'k': 3},spatial
test_1419,1639.4697265625,{'k': 3},spatial
test_142,1525.6036376953125,{'k': 3},spatial
test_1420,1629.4810791015625,{'k': 3},spatial
test_1421,1515.4801025390625,{'k': 3},spatial
test_1422,1772.189208984375,{'k': 3},spatial
test_1423,1548.3765869140625,{'k': 3},spatial
test_1424,1842.654296875,{'k': 3},spatial
test_1425,1509.358642578125,{'k': 3},spatial
test_1426,1640.0218505859375,{'k': 3},spatial
test_1427,1541.513427734375,{'k': 3},spatial
test_1428,1393.570068359375,{'k': 3},spatial
test_1429,1688.072265625,{'k': 3},spatial
test_143,1612.312255859375,{'k': 3},spatial
test_1430,1564.981689453125,{'k': 3},spatial
test_1431,1668.81103515625,{'k': 3},spatial
test_1432,1434.2362060546875,{'k': 3},spatial
test_1433,1688.527587890625,{'k': 3},spatial
test_1434,1515.56982421875,{'k': 3},spatial
test_1435,1552.68603515625,{'k': 3},spatial
test_1436,1415.61865234375,{'k': 3},spatial
test_1437,1556.1014404296875,{'k': 3},spatial
test_1438,1559.946533203125,{'k': 3},spatial
test_1439,1507.4730224609375,{'k': 3},spatial
test_144,1669.53515625,{'k': 3},spatial
test_1440,1491.9493408203125,{'k': 3},spatial
test_1441,1434.7593994140625,{'k': 3},spatial
test_1442,1501.92431640625,{'k': 3},spatial
test_1443,1531.159423828125,{'k': 3},spatial
test_1444,1567.93505859375,{'k': 3},spatial
test_1445,1512.084228515625,{'k': 3},spatial
test_1446,1764.688232421875,{'k': 3},spatial
test_1447,1405.8433837890625,{'k': 3},spatial
test_1448,1400.186279296875,{'k': 3},spatial
